Bottle #,defect,tilt,H offset,V offset,Capacity
253,None,0.177,0.021,0.066,300
254,None,0.481,0.034,0.070,300
255,None,0.220,0.019,0.058,300
256,damage,0.202,0.032,0.063,300
257,None,0.174,0.041,0.061,300
258,None,0.484,0.049,0.067,300
259,None,0.170,0.047,0.071,300
260,bump,0.271,0.021,0.064,300
261,damage,0.376,0.019,0.063,300
262,None,0.177,0.021,0.066,300
263,None,0.481,0.034,0.070,300
264,None,0.220,0.019,0.058,300
265,damage,0.202,0.032,0.063,300
266,None,0.174,0.041,0.061,300
267,None,0.484,0.049,0.067,300
268,None,0.170,0.047,0.071,300
269,bump,0.271,0.021,0.064,300
270,damage,0.376,0.019,0.063,300
271,None,0.177,0.021,0.066,300
272,None,0.481,0.034,0.070,300
273,None,0.220,0.019,0.058,300
274,damage,0.202,0.032,0.063,300
275,None,0.174,0.041,0.061,300
276,None,0.484,0.049,0.067,300
277,None,0.170,0.047,0.071,300
278,bump,0.271,0.021,0.064,300
279,damage,0.376,0.019,0.063,300
280,None,0.177,0.021,0.066,300
281,None,0.481,0.034,0.070,300
282,None,0.220,0.019,0.058,300
283,damage,0.202,0.032,0.063,300
284,None,0.174,0.041,0.061,300
285,None,0.484,0.049,0.067,300
286,None,0.170,0.047,0.071,300
287,bump,0.271,0.021,0.064,300
288,damage,0.376,0.019,0.063,300
289,None,0.177,0.021,0.066,300
290,None,0.481,0.034,0.070,300
291,None,0.220,0.019,0.058,300
292,damage,0.202,0.032,0.063,300
293,None,0.174,0.041,0.061,300
294,None,0.484,0.049,0.067,300
295,None,0.170,0.047,0.071,300
296,bump,0.271,0.021,0.064,300
297,damage,0.376,0.019,0.063,300
298,None,0.177,0.021,0.066,300
299,None,0.481,0.034,0.070,300
300,None,0.220,0.019,0.058,300
301,damage,0.202,0.032,0.063,300
302,None,0.174,0.041,0.061,300
303,None,0.484,0.049,0.067,300
304,None,0.170,0.047,0.071,300
305,bump,0.271,0.021,0.064,300
306,damage,0.376,0.019,0.063,300
307,None,0.177,0.021,0.066,300
308,None,0.481,0.034,0.070,300
309,None,0.220,0.019,0.058,300
310,damage,0.202,0.032,0.063,300
311,None,0.174,0.041,0.061,300
312,None,0.484,0.049,0.067,300
313,None,0.170,0.047,0.071,300
314,bump,0.271,0.021,0.064,300
315,damage,0.376,0.019,0.063,300
316,None,0.177,0.021,0.066,300
317,None,0.481,0.034,0.070,300
318,None,0.220,0.019,0.058,300
319,damage,0.202,0.032,0.063,300
320,None,0.174,0.041,0.061,300
321,None,0.484,0.049,0.067,300
322,None,0.170,0.047,0.071,300
323,bump,0.271,0.021,0.064,300
324,damage,0.376,0.019,0.063,300
325,None,0.177,0.021,0.066,300
326,None,0.481,0.034,0.070,300
327,None,0.220,0.019,0.058,300
328,damage,0.202,0.032,0.063,300
329,None,0.174,0.041,0.061,300
330,None,0.484,0.049,0.067,300
331,None,0.170,0.047,0.071,300
332,bump,0.271,0.021,0.064,300
333,damage,0.376,0.019,0.063,300
334,None,0.177,0.021,0.066,300
335,None,0.481,0.034,0.070,300
336,None,0.220,0.019,0.058,300
337,damage,0.202,0.032,0.063,300
